n,t,rho,real_part,imag_part,hardy_z,zeta_real,zeta_imag,zeta_error,real_error,tolerance,pass
1,14.1347251417346937904572519835624702707842571156992431756855676382522684434656137260598351,(0.5 + 14.1347251417346937904572519835624702707842571156992431756855676382522684434656137260598351j),0.5,14.1347251417346937904572519835624702707842571156992431756855676382522684434656137260598351,1.41263701426424308014018369035984124853842380985254152158040625766834432161943944400827989e-61,-2.2209327112959785946300126117567497292989729854263460095220166451835594632402203482131566e-62,1.39506914272675038671243646566575957787550975424185974047574363737311948995780707178956769e-61,1.4126370142642430801401837377018656671532817678975686000752344712489099147018724224994327e-61,0.0,1e-50,True
2,21.02203963877155499262847959389690277733434052490278175462952018475303653100008669344044,(0.5 + 21.02203963877155499262847959389690277733434052490278175462952018475303653100008669344044j),0.5,21.02203963877155499262847959389690277733434052490278175462952018475303653100008669344044,2.48779688069775449623444880498383421444635889593887529970469354278000520963465870293188068e-61,-5.44306743400576030430783888363989145456229287985295830176970444448615024436102235005779653e-62,-2.42752208819984515499642929135436907974182069509702495374581681833707684179123855423397025e-61,2.48779688069775449623444880422195792967302708771406717526876549835565929764276142742556444e-61,0.0,1e-50,True
3,25.0108575801456887632137909925628218186595496725579966724965424881413934493643254832957011,(0.5 + 25.0108575801456887632137909925628218186595496725579966724965424881413934493643254832957011j),0.5,25.0108575801456887632137909925628218186595496725579966724965424881413934493643254832957011,6.60341554150171651331393897792353475411614872669929312755355037516557891652323299584467526e-61,-2.16646007395529120960164871205526941576005081078853162344419515717690179984392720708101072e-61,6.23791211558034392818708731615283402515633000956918016194881444514210647465612734937425387e-61,6.60341554150171651331393905698614063159112271481977789390457069717794122614372590616279483e-61,0.0,1e-50,True
4,30.4248761258595132103118975305840913201815600237154401809621456581832340681465087439779271,(0.5 + 30.4248761258595132103118975305840913201815600237154401809621456581832340681465087439779271j),0.5,30.4248761258595132103118975305840913201815600237154401809621456581832340681465087439779271,4.93945995715577935053315317958966333240263697482658455749213174000898612192232416949816986e-61,-2.52859325712075969610204105401156417045207215393111168849036699219493993353025942154879649e-61,-4.24316872259268064350003783867642115476204950553412924131167892169913078653834715771066616e-61,4.93945995715577935053315310794895441167916259554248235474567316159297199296773927618045662e-61,0.0,1e-50,True
5,32.9350615877391896906623689640749034888127156035170390092800035001488859124535075861391401,(0.5 + 32.9350615877391896906623689640749034888127156035170390092800035001488859124535075861391401j),0.5,32.9350615877391896906623689640749034888127156035170390092800035001488859124535075861391401,8.20482413541846020680194791367053572660924230501359246896491817389069063936252814450316289e-62,-4.45559493477442544952763050603993577824582550509475680602475825318365480990619908612810575e-62,6.88961630792004022017219004893197945692075364376637682148027535915771986673392958574588034e-62,8.20482413541846020680194920524365450889455340307522590278871168872488556111311527061233227e-62,0.0,1e-50,True
6,37.5861781588256712572177634807053328214055973508307932183330010694071140882285678016701033,(0.5 + 37.5861781588256712572177634807053328214055973508307932183330010694071140882285678016701033j),0.5,37.5861781588256712572177634807053328214055973508307932183330010694071140882285678016701033,8.56227674658825300728585770850932217417848688373235614024101652678361336457580545828964247e-62,-2.48048300881545553166552085218564394353353593993524009212907991954049192877132231022592567e-62,-8.19510751168913850275849312214699834058754439637220763121323778993552795950375792305470983e-62,8.56227674658825300728585801043769551718996920647051419595921057085438539877118849442729534e-62,0.0,1e-50,True
7,40.9187190121474951873981269146332543957261659627772795361613033571102173113902726056564676,(0.5 + 40.9187190121474951873981269146332543957261659627772795361613033571102173113902726056564676j),0.5,40.9187190121474951873981269146332543957261659627772795361613033571102173113902726056564676,-4.62302587632859369103258041399854751057900167455404443760253663381765935046935946944073901e-61,-9.39326993926228630446452755868758927899217258016013897183816602266849665929518634536540054e-62,-4.52659176993963930950844475581129103419698733355851910058292131071792070405651864907406392e-61,4.62302587632859369103258033102046844383543442468978387297441804343725270069625579252861629e-61,0.0,1e-50,True
8,43.3270732809149995194961221654068057826456683718368714468788936596425984315813566363607519,(0.5 + 43.3270732809149995194961221654068057826456683718368714468788936596425984315813566363607519j),0.5,43.3270732809149995194961221654068057826456683718368714468788936596425984315813566363607519,4.74484991450725356773815396135133590451934313451217849497536265698917004122977573448703573e-62,2.85627567664841675702551913185967282833618737151903383657779901771794246865444301524855183e-62,-3.78883754866662506955075425237141199988029012130816632802056852030273897983252724015235e-62,4.74484991450725356773815230877076618208841629942256313166840257959033310834627573351920913e-62,0.0,1e-50,True
9,48.0051508811671597279424727494275160416868440011444251177753125815256499102506471848149339,(0.5 + 48.0051508811671597279424727494275160416868440011444251177753125815256499102506471848149339j),0.5,48.0051508811671597279424727494275160416868440011444251177753125815256499102506471848149339,9.67656680098531507110061938278690245851741908230828582791006397886738676528574402702724631e-62,7.27493149319306837909811880498397281951858880739899115207274547511862973324190984247912187e-62,6.38054204776356337885344833245036700879792263809599576535339378877811587898658023212989181e-62,9.67656680098531507110062160570966696093912946000289248243154188720626459760641188149877226e-62,0.0,1e-50,True
10,49.7738324776723021819167846785637240577231782996766621007819558985305758978553386739751961,(0.5 + 49.7738324776723021819167846785637240577231782996766621007819558985305758978553386739751961j),0.5,49.7738324776723021819167846785637240577231782996766621007819558985305758978553386739751961,-2.10139700709790185291190717378842116122283289073019171352570204923694239699781124196351157e-61,-9.63787593307401455710141286436313618712858515474312982193130032704692614593831303111096088e-62,1.86734647466043277480423368889993097181468854658414389221296496175428058187401919351828278e-61,2.10139700709790185291190726507304468089085819943323459936345702026306628197042413476088798e-61,0.0,1e-50,True
11,52.9703214777144606441472966088809900638250178888212247799007486047987061793019655726573272,(0.5 + 52.9703214777144606441472966088809900638250178888212247799007486047987061793019655726573272j),0.5,52.9703214777144606441472966088809900638250178888212247799007486047987061793019655726573272,1.12710021471571408885698672483473149870686423106912702471693307849760775721975813839288003e-60,-2.89844682150481206558075289141798422300997393750697543878830154055148509259444652512169357e-61,1.08919463560985982437432739880518744695109192346828334154449498102553563300493755356859387e-60,1.12710021471571408885698672415283086820920181403418743620059381574358959699406337654090271e-60,0.0,1e-50,True
